MAKE,MAKER
1,American Motors
2,Jeep
3,AM General
6,Chrysler
7,Dodge
8,Imperial
9,Plymouth
10,Eagle
12,Ford
13,Lincoln
14,Mercury
18,Buick/Opel
19,Cadillac
20,Chevrolet
21,Oldmobile
22,Pontiac
23,GMC
24,Saturn
25,Grumman
26,Coda
29,Other Domestic
30,Volkswagen
31,Alfa Romeo
32,Audi
33,Austin/Austin Healey
34,BMW
35,Datsun/Nissan
36,Fiat
37,Honda
38,Isuzu
39,Jaguar
40,Lancia
41,Mazda
43,Mercedes-Benz
44,Peugeot
45,Porsche
46,Renault
47,Saab
48,Subaru
49,Toyota
50,Triumph
51,Volvo
52,Mitsubishi
53,Suzuki
54,Acura
55,Hyundai
56,Merkur
57,Yugo
58,Infiniti
59,Lexus
60,Daihatsu
61,Sterline
62,Land Rover
63,Kia,
64,Daewoo
65,Smart
66,Mahindra
67,Scion
69,Other Imports